title,date,paper_link,project_link,publication
Compatible and Diverse Fashion Image Inpainting,201902,https://arxiv.org/abs/1902.01096,,
PIVTONS: Pose Invariant Virtual Try-On Shoe with Conditional Image Completion,201809,https://winstonhsu.info/wp-content/uploads/2018/09/chou18PIVTONS.pdf,https://winstonhsu.info/pubs/pivtons-virtual-try-on-shoe/,ACCV 2018
Toward Characteristic-Preserving Image-based Virtual Try-On Network,201806,https://arxiv.org/abs/1807.07688,https://github.com/sergeywong/cp-vton,ECCV 2018
DesIGN: Design Inspiration from Generative Networks,201804,https://arxiv.org/abs/1804.00921,,ECCVW 2018
Visually-Aware Fashion Recommendation and Design with Generative Image Models,201711,https://arxiv.org/abs/1711.02231,https://github.com/kang205/DVBPR,ICDM 2017
VITON: An Image-based Virtual Try-on Network,201711,https://arxiv.org/abs/1711.08447,https://github.com/xthan/VITON,CVPR 2018
Be Your Own Prada: Fashion Synthesis with Structral Coherence.,201710,https://arxiv.org/abs/1710.07346,http://mmlab.ie.cuhk.edu.hk/projects/FashionGAN/,ICCV 2017
SwapNet: Image Based Garment Transfer,201809,http://openaccess.thecvf.com/content_ECCV_2018/papers/Amit_Raj_SwapNet_Garment_Transfer_ECCV_2018_paper.pdf,,ECCV 2018
M2E-Try On Net: Fashion from Model to Everyone,201811,https://arxiv.org/abs/1811.08599,,
The Conditional Analogy GAN: Swapping Fashion Articles on People Images,201709,https://arxiv.org/abs/1709.04695,,ICCVW 2017
Language Guided Fashion Image Manipulation with Feature-wise Transformations,201808,https://arxiv.org/abs/1808.04000,,ECCVW 2018
FashionGAN: Display your fashion design using Conditional Generative Adversarial Nets,201810,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.13552,,CG Forum 2018
